Id-Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
1,CS1,MemoryManagementMismatch,ShortArrayElements,JNI_getShortArrayElements,,,pljava-1_3_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_3_0,6/18/2006
2,CS2,MemoryManagementMismatch,DoubleArrayElements,JNI_getDoubleArrayElements,,,pljava-1_3_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_3_0,6/18/2006
3,CS3,MemoryManagementMismatch,StringUTFChars,JNI_getStringUTFChars,,,pljava-1_3_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_3_0,6/18/2006
4,CS4,MemoryManagementMismatch,BooleanArrayElements,JNI_getBooleanArrayElements,,,pljava-1_3_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_3_0,6/18/2006
5,CS5,MemoryManagementMismatch,FloatArrayElements,JNI_getFloatArrayElements,,,pljava-1_3_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_3_0,6/18/2006
6,CS6,MemoryManagementMismatch,ByteArrayElements,JNI_getByteArrayElements,,,pljava-1_3_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_3_0,6/18/2006
7,CS7,MemoryManagementMismatch,IntArrayElements,JNI_getIntArrayElements,,,pljava-1_3_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_3_0,6/18/2006
8,CS8,MemoryManagementMismatch,LongArrayElements,JNI_getLongArrayElements,,,pljava-1_3_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_3_0,6/18/2006
9,CS9,NotHandlingExceptions,className,JNI_findClass,,,pljava-1_3_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_3_0,6/18/2006
10,CS10,NotHandlingExceptions,name,JNI_getMethodID,,,pljava-1_3_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_3_0,6/18/2006
11,CS11,NotHandlingExceptions,name,JNI_getStaticMethodIDOrNull,,,pljava-1_3_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_3_0,6/18/2006
12,CS12,NotHandlingExceptions,name,JNI_getFieldID,,,pljava-1_3_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_3_0,6/18/2006
13,CS13,NotHandlingExceptions,name,JNI_getStaticMethodID,,,pljava-1_3_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_3_0,6/18/2006
14,CS14,NotHandlingExceptions,name,JNI_getStaticFieldID,,,pljava-1_3_0/src/C/pljava/JNICalls.c,JNICalls.c,pljava,pljava-1_3_0,6/18/2006
15,CS15,UnusedDeclaration,,_isFiredByInsert,TriggerData,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_3_0,6/18/2006
16,CS16,UnusedDeclaration,,_getInternalPos,ErrorData,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_3_0,6/18/2006
17,CS17,UnusedDeclaration,,_formTuple,TupleDesc,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-1_3_0,6/18/2006
18,CS18,UnusedDeclaration,,_free,TupleDesc,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-1_3_0,6/18/2006
19,CS19,UnusedDeclaration,,_isFiredAfter,TriggerData,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_3_0,6/18/2006
20,CS20,UnusedDeclaration,,_getFuncname,ErrorData,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_3_0,6/18/2006
21,CS21,UnusedDeclaration,,_isFiredByDelete,TriggerData,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_3_0,6/18/2006
22,CS22,UnusedDeclaration,,_getRelation,TriggerData,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_3_0,6/18/2006
23,CS23,UnusedDeclaration,,_getNestingLevel,Invocation,org.postgresql.pljava.jdbc,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/jdbc/Invocation.java,Invocation.java,pljava,pljava-1_3_0,6/18/2006
24,CS24,UnusedDeclaration,,_getSessionUser,AclId,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-1_3_0,6/18/2006
25,CS25,UnusedDeclaration,,_exec,SPI,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/SPI.java,SPI.java,pljava,pljava-1_3_0,6/18/2006
26,CS26,UnusedDeclaration,,_fetch,Portal,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-1_3_0,6/18/2006
27,CS27,UnusedDeclaration,,_fromName,AclId,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-1_3_0,6/18/2006
28,CS28,UnusedDeclaration,,_getOid,TupleDesc,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-1_3_0,6/18/2006
29,CS29,UnusedDeclaration,,_isShowFuncname,ErrorData,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_3_0,6/18/2006
30,CS30,UnusedDeclaration,,_getResult,SPI,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/SPI.java,SPI.java,pljava,pljava-1_3_0,6/18/2006
31,CS31,UnusedDeclaration,,_cursorOpen,ExecutionPlan,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/ExecutionPlan.java,ExecutionPlan.java,pljava,pljava-1_3_0,6/18/2006
32,CS32,UnusedDeclaration,,_release,PgSavepoint,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/PgSavepoint.java,PgSavepoint.java,pljava,pljava-1_3_0,6/18/2006
33,CS33,UnusedDeclaration,,_getUser,AclId,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-1_3_0,6/18/2006
34,CS34,UnusedDeclaration,,_readByte,SQLInputFromChunk,org.postgresql.pljava.jdbc,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/jdbc/SQLInputFromChunk.java,SQLInputFromChunk.java,pljava,pljava-1_3_0,6/18/2006
35,CS35,UnusedDeclaration,,_clearFunctionCache,Backend,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/Backend.java,Backend.java,pljava,pljava-1_3_0,6/18/2006
36,CS36,UnusedDeclaration,,_hasSchemaCreatePermission,AclId,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-1_3_0,6/18/2006
37,CS37,UnusedDeclaration,,_writeByte,SQLOutputToChunk,org.postgresql.pljava.jdbc,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/jdbc/SQLOutputToChunk.java,SQLOutputToChunk.java,pljava,pljava-1_3_0,6/18/2006
38,CS38,UnusedDeclaration,,_getSavedErrno,ErrorData,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-1_3_0,6/18/2006
39,CS39,UnusedDeclaration,,_read,LargeObject,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,LargeObject.java,pljava,pljava-1_3_0,6/18/2006
40,CS40,UnusedDeclaration,,_modifyTuple,Relation,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/Relation.java,Relation.java,pljava,pljava-1_3_0,6/18/2006
41,CS41,UnusedDeclaration,,_open,LargeObject,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,LargeObject.java,pljava,pljava-1_3_0,6/18/2006
42,CS42,UnusedDeclaration,,_isSuperuser,AclId,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-1_3_0,6/18/2006
43,CS43,UnusedDeclaration,,_getColumnName,TupleDesc,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-1_3_0,6/18/2006
44,CS44,UnusedDeclaration,,_isAtEnd,Portal,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-1_3_0,6/18/2006
45,CS45,UnusedDeclaration,,_isFiredByUpdate,TriggerData,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/TriggerData.java,TriggerData.java,pljava,pljava-1_3_0,6/18/2006
46,CS46,UnusedDeclaration,,_length,LargeObject,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/LargeObject.java,LargeObject.java,pljava,pljava-1_3_0,6/18/2006
47,CS47,UnusedDeclaration,,_set,PgSavepoint,org.postgresql.pljava.internal,pljava-1_3_0/src/java/pljava/org/postgresql/pljava/internal/PgSavepoint.java,PgSavepoint.java,pljava,pljava-1_3_0,6/18/2006
